Epochs    TL                  TA                  VL                  VA                  Time                
1         1.46917458804       0.333333333333      1.08580870588       0.333333333333      0.00304794311523    
2         1.05050925129       0.333333333333      0.992098428532      0.333333333333      0.00140404701233    
3         0.96813978983       0.4                 0.940343715089      0.573333333333      0.000853061676025   
4         0.924302886997      0.733333333333      0.902303527115      0.653333333333      0.000841856002808   
5         0.88542004105       0.666666666667      0.855875148565      0.68                0.000932931900024   
6         0.833099071578      0.693333333333      0.821027574256      0.68                0.00184202194214    
7         0.80581853469       0.68                0.793664082107      0.706666666667      0.00172901153564    
8         0.775901690628      0.68                0.770125480521      0.733333333333      0.00155806541443    
9         0.761196941083      0.746666666667      0.749327520597      0.68                0.00146317481995    
10        0.739201373088      0.68                0.730688455423      0.746666666667      0.0015721321106     
11        0.716692802105      0.72                0.714164471275      0.826666666667      0.00156092643738    
12        0.706429938519      0.84                0.700945645578      0.666666666667      0.00145602226257    
13        0.684666483085      0.666666666667      0.685514199177      0.773333333333      0.00344395637512    
14        0.682940587656      0.773333333333      0.673671972361      0.826666666667      0.00178909301758    
15        0.662186953128      0.733333333333      0.662911554602      0.853333333333      0.00150394439697    
16        0.647710835758      0.88                0.652911239874      0.72                0.00148510932922    
17        0.640441279063      0.733333333333      0.643749178411      0.746666666667      0.00154519081116    
18        0.63101554324       0.826666666667      0.635281945139      0.693333333333      0.00171899795532    
19        0.620336012176      0.746666666667      0.626279282821      0.733333333333      0.00153493881226    
20        0.614550468973      0.813333333333      0.619701537429      0.68                0.00193905830383    
21        0.603635935794      0.706666666667      0.610134926337      0.826666666667      0.00160098075867    
22        0.6027026193        0.92                0.604501224418      0.693333333333      0.00143504142761    
23        0.599740390297      0.786666666667      0.598906199437      0.68                0.00138688087463    
24        0.592115412074      0.853333333333      0.593101139198      0.68                0.00111103057861    
25        0.57779675348       0.68                0.582743719535      0.933333333333      0.000827789306641   
26        0.582168684134      0.746666666667      0.579149634319      0.96                0.000809192657471   
27        0.563540580436      0.96                0.570544740691      0.786666666667      0.000815868377686   
28        0.55593445309       0.76                0.564322217773      0.906666666667      0.000979900360107   
29        0.558848328723      0.8                 0.558834182567      0.933333333333      0.00149011611938    
30        0.549598122606      0.906666666667      0.554927990126      0.746666666667      0.00138115882874    
31        0.538003869325      0.773333333333      0.547793762822      0.866666666667      0.0013279914856     
32        0.537180424758      0.92                0.543607063415      0.8                 0.00135588645935    
33        0.536434372945      0.76                0.537627003329      0.893333333333      0.00123000144958    
34        0.523411493048      0.866666666667      0.533161087184      0.866666666667      0.00150299072266    
35        0.517805183134      0.853333333333      0.528504929755      0.866666666667      0.00148510932922    
36        0.51680004506       0.88                0.523893980971      0.866666666667      0.00146794319153    
37        0.519997287475      0.826666666667      0.519394232399      0.893333333333      0.00144004821777    
38        0.504933190168      0.893333333333      0.515391046587      0.866666666667      0.00138282775879    
39        0.50145294214       0.826666666667      0.511017249097      0.933333333333      0.00144290924072    
40        0.503202189189      0.893333333333      0.507445277445      0.866666666667      0.000967979431152   
